%depth	d13C	d18O
96.6	0.67	3.3
96.65	0.82	4.16
96.7	0.78	4.08
96.75	0.79	3.98
96.85	0.41	3.49
97.05	0.42	3.81
97.1	0.67	3.77
97.15	0.42	3.62
97.2	0.65	3.63
97.25	0.71	3.75
97.35	0.6	3.87
97.4	0.41	3.46
97.45	0.4	3.31
97.5	0.44	3.26
97.6	0.58	3.52
97.65	0.45	3.34
97.7	0.37	3.15
97.75	0.06	3.01
97.8	0.11	3.26
98	0.18	3.12
98.2	0.08	3.27
98.25	0.1	3.4
98.3	0.65	3.82
98.35	0.41	3.64
98.4	0.02	3.34
98.45	0.09	3.6
98.5	0.81	3.48
98.51	0.76	4.01
98.55	0.79	3.6
98.7	0.58	3.33
98.75	0.24	3.4
98.8	0.7	3.58
98.95	-0.04	3.51
98.99	-0.45	3.57
99.05	0.65	3.64
99.15	0.38	3.61
99.2	0.61	3.87
99.25	0.64	3.96
99.3	0.72	3.54
99.35	0.77	3.49
99.69	0.62	3.25
99.7	0.92	3.48
99.85	0.24	3.28
100.29	-0.24	2.89
100.35	-0.1	3.02
100.36	-0.25	3.16
100.41	-0.07	3
100.45	-0.15	3.07
100.5	0.19	3.02
100.55	0.84	3.62
100.56	0.79	3.38
100.59	0.4	3.52
100.65	0.46	3.43
100.66	0.6	3.49
100.75	0.61	3.49
100.85	0.74	3.45
100.89	0.6	3.81
100.95	0.47	4.24
100.99	0.67	4.02
101.15	0.43	3.67
101.25	0.48	3.4
101.29	0.61	3.33
101.45	0.39	3.14
101.55	0.45	3.08
101.91	-0.11	2.91
102.35	0.62	3.28
102.55	0.06	3.02
102.89	-0.88	3.22
103.05	-0.12	3.95
103.15	-0.37	3.64
103.25	0.15	4.23
103.29	-0.01	4.22
103.41	-0.01	4.27
103.49	-0.1	4.08
103.55	-0.23	4.13
103.59	0.35	3.92
103.69	-0.1	3.56
103.74	0.09	3.67
103.78	0.04	3.83
103.84	-0.51	3.51
103.85	-0.64	3.53
103.98	0.7	4.26
104.04	0.48	4.3
104.14	0.45	4.06
104.24	0.28	4.11
104.29	0.21	4.29
104.34	0.47	4.31
104.44	0.17	4.04
104.59	0.32	4.22
104.74	0.27	3.68
104.89	0.38	3.9
104.94	-0.02	3.41
105.14	0.53	3.74
105.18	0.21	3.53
105.28	0.34	3.54
105.49	0.51	3.86
105.54	0.21	3.57
105.64	0.19	3.67
105.68	-0.07	3.54
105.74	0.52	3.97
106.14	0.27	3.52
106.19	0.56	3.75
106.24	0.35	3.43
106.29	0.28	3.4
106.34	0.06	3.42
106.38	0.45	3.76
106.44	0.29	3.56
106.49	0.15	3.63
106.54	0.4	3.56
106.59	0.47	3.61
106.64	-0.22	3.42
106.69	0.26	3.45
106.74	-0.56	3.7
106.84	0.43	3.99
106.99	0.61	4.35
107.04	0.51	4.33
107.09	0.03	4.16
107.24	0.46	4.51
107.34	0.56	4.34
107.39	0.59	4.23
107.49	0.62	3.9
107.54	0.04	4.08
107.59	-0.26	3.85
107.64	0.42	4.06
107.74	0.18	4.08
107.84	0.35	4.09
107.89	0.06	3.71
107.94	0.39	3.79
107.99	-0.23	3.8
108.04	0.06	3.81
108.19	0.77	4.04
108.49	0.32	3.99
108.54	0.17	3.61
108.59	0.69	3.74
108.69	0.7	3.78
108.74	0.67	3.94
108.94	0.29	3.63
108.99	0.56	3.81
109.04	0.29	3.47
109.09	0.27	3.78
109.14	0.67	3.91
109.19	0.56	3.74
109.24	0.48	3.46
109.29	0.77	3.63
109.34	0.7	3.37
109.39	1.04	3.6
109.49	0.41	3.07
109.54	0.59	3.23
109.59	0.84	3.29
109.64	0.63	3.44
109.69	0.65	3.5
109.74	0.63	3.46
109.79	0.74	3.43
109.84	0.22	3.48
109.89	0.71	3.45
109.94	0.82	3.43
110.09	0.73	3.32
110.14	0.81	3.28
110.19	0.48	3.13
110.24	0.92	3.09
110.29	0.61	3.26
110.34	0.77	3.02
110.39	0.33	3.12
110.61	0.51	3.28
110.74	0.5	2.89
110.84	0.63	2.73
110.89	0.62	3.08
110.95	0.5	3.03
111.09	0.74	3.02
111.19	0.57	3.01
111.24	0.81	2.73
111.29	0.77	2.97
111.34	0.55	2.85
111.39	0.67	3.16
111.41	0.6	2.74
111.49	0.34	3.07
111.54	0.67	2.85
111.59	0.57	3.21
111.64	0.14	3.23
111.69	0.51	3.3
111.79	0.37	3.13
111.94	0.75	3.24
111.99	0.26	3.05
112.04	0.25	3.14
112.14	-0.03	3.82
112.24	0.23	2.97
112.39	-0.43	3.04
112.45	-0.62	2.94
112.49	-0.29	3.01
112.54	0	3.43
112.59	-0.19	3.7
112.64	-0.14	3.85
112.69	0.22	4.51
112.79	-0.17	4.37
112.95	0.76	4.55
113.05	0.66	3.85
113.09	0.61	3.67
113.15	0.72	4.31
113.25	0.57	3.98
113.35	1.01	4.41
113.45	0.18	4.4
113.5	0.72	4.3
113.55	0.69	4.38
113.75	0.72	4.37
113.8	0.35	4.48
113.85	0.89	4.38
113.9	0.49	3.58
113.95	0.48	4.37
114	0.57	3.94
114.15	0.78	3.66
114.25	0.81	4.14
114.5	0.57	4.04
114.65	0.63	3.99
114.7	0.6	3.83
114.75	0.81	3.81
114.8	0.67	3.76
114.85	0.6	3.77
114.9	0.54	3.68
